text,score,cosineSim,result
What a mess. Throw another shovel full on,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",[0.7343669620956692],0
Grrrr qwest internet sucks,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.5857423945402389],0
In a bad mood,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.8462651272551092],0
Am disliking gravity currently ://,"[1, 1, 1, 1, 1, 1, 3, 0, 0, 0]",[0.686308284697754],0
"Wow Japan is getting hammered, They have to deal with tsunami's, Earthquakes and now radiation leaks at power plants :// I really hope they are ok","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.7996143441313069],0
Well english homework is really crap !,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.6910990160890808],0
wow physics homework is fun :\,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.8213496383138967],0
Just stacked it on my bike ://,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.722600271709495],0
It's so cold!,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.6326860005561254],0
I'm secretly a horrible person inside. Don't let my sunny-face fool you.,"[1, 5, 1, 1, 1, 1, 3, 1, 5, 0]",[0.874234052748383],0
That's what the Internet is all about: fat people doing stuff that no one else cares about.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.8007961711243284],0
It's so cold outside and in my heart tonight.,"[9, 5, 9, 3, 1, 1, 5, 5, 0, 0]",[0.7647018683400485],0
I've got cold feet.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.6922062069062047],0
I've got the electric tea kettle. I need tea at all hours of the day! :-(,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",[0.8547324695721923],0
I think I'm gonna lose my voice...little daggers stabbing my neck...bronchitis? I think not!,"[1, 1, 3, 1, 1, 1, 1, 1, 1, 1]",[0.7192770116923011],0
Smells like a skunk drowned in lemon Pledge.,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",[0.8468661521887335],0
Ryan's pits smell like absolute shit!,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.6680570748150074],0
"No car, lugging around an acoustic guitar and bass and missing the train, fun being me..","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.8293302025033193],0
fuck uni. you suck.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.5554483844370925],0
Hates Damon as I am now sat outside boys school in pyjama bottoms and his boots,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.7800972858653881],0
This will be a long day..,"[1, 1, 1, 5, 1, 1, 1, 1, 0, 0]",[0.7343471058423411],0
2 hours in the library and I've lost the will to live,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.8301642829490954],0
My knee likes to pick the worst time to play up see...,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.727856158985562],0
"Fuck you history essay, fuck you cultures, I'm done!","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.652958184448534],0
Is a lazy fuck,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.6388734312739308],0
Feels sorry for his overdraft,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.6543513240737803],0
Is not looking forward to peeling off my skinny jeans after tonight,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.8136278719227977],0
Is in absolute agony!,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.6374593944889968],0
Grease lines are pretty poor tbh :L,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.7696794489463242],0
Love how I can't shit in peace in my own home,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.8590837198799444],0
Wrecked!,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.31618096605326174],0
Becca is censoring my status,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.6409767083832948],0
"As far as weekends go, this one has been shit hot","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.7739460270516739],0
Loves waking up to back spasms see,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.677720218731861],0
wtf is sleep?,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",[0.7087255661036992],0
Is now in agony,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.6300609807486014],0
"Has woke up barely being able to stand, where the fuck did this come from?!","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.7812181494229502],0
Luke brings out my tourettes...,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",[0.5654855480471094],0
Grease will be the death of me...,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.7713862117985221],0
Why don't you all just ffffffffffffffffade away?,"[9, 1, 6, 5, 1, 0, 0, 0, 0, 0]",[0.8144515682287888],0
"Yesterday's school melted 3//4 of my brain, today's succeeded in finishing off the rest... and now it's evaporating...","[5, 1, 1, 1, 1, 1, 7, 1, 1, 1]",[0.8242098031336953],0
Our poor laptop is dying...,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.6716334865080821],0
"/All the little jagged ends of my life have come together to form a complete and mystical... whole./""""","[1, 1, 3, 1, 1, 1, 1, 3, 1, 1]",[0.8629807505801552],0
I think I'm the only person who can turn around and accidentally smack her face into a wall that she knows is there...,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.8583431329979744],0
"Feels like I'm dying, yeah.","[5, 9, 9, 6, 1, 5, 3, 3, 0, 0]",[0.6957553375972892],0
April 1st is not only fools day but also the day girls get to use there victoria secrets rewards <3 did someone say shopping ...,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.8529337615733086],0
Will the April snow showers bring May flowers ? hmmm,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.8239876398954059],0
Loving the fact my babie made me breakfast mmm... good *lucky* :),"[1, 1, 1, 1, 1, 1, 3, 1, 1, 0]",[0.7980940537011862],0
After seeing my bf lift up a washing machine like as if it were a small item today I won't ever under estimate his ...,"[1, 1, 1, 5, 1, 1, 1, 1, 0, 0]",[0.8619658651896386],0
I find some comfort in getting creative with a tasty bottle of cointreau,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.8813183018017466],0
Ever just wake up with a bad feeling like the day won't go your way?? ... trying to keep positive,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.8782400616502504],0
War is about who's left not who's right.... be strong and never give up,"[4, 3, 5, 5, 5, 5, 5, 5, 5, 0]",[0.7071432434103597],0
"In honor of Mother's Day, we are trying to see how many of you are willing to change your profile picture to a picture of your mother and keep it there till May 9. Please repost this as your status so everyone gets the word and see how many beautiful mothers we can get on FB..I got mine","[1, 1, 1, 3, 1, 1, 1, 0, 0, 0]",[0.893701365078169],0
"What would your liqour do? If it could, it would probably drink you too :P >>happy cinco de mayo people<< A divertirse los k beban","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.782222091390366],0
Happy mothers day to all the privileged beautiful moms out there I wish you all pleasant moments,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.7771181818475789],0
"I just opened my grandads wallet to find 3 pictures of me inside, I know he loved me and the family as much as he could love anyone. Like my little brother said this morning I'm going to miss him and his round puffy nose. I'll miss him singing, and lecturing on how I should use my artistic talents and stop being a bizzy body R.I.P 1//25//1936-4//13//2011","[1, 1, 1, 1, 7, 1, 1, 1, 1, 1]",[0.9381681852935843],0
"I thank god so much I'm not in Japan, two Nuclear blasts in Japan have left at least 10,000 dead 17 US military tested positive for radiation poison and a volcano in southern japan erupted today http:////www.huffingtonpost.com//2011//03//14//japan-nuclear-plant-japan-earthquake-2011_n_835279.html","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.8916841320585485],0
The Aura's are darker stonger it's mind boggling what is our sky trying to say shades are the strangest ever...,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.831739292230174],0
"I've got hoes I've got hoes, in different area codes # R.I.PNate Dogg","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[0.8239583031453669],0
"Nice orchestra in the sky with sounds of love late, late at night","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.8872951454453591],0
"It's 9:30 AM and everything around me is painted green, and our NYPD have already decided to hit the pubs in uniforms lol enjoying the view from the office window Happy St. Paddys day every one","[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",[0.9468366696113945],0
It's like Christmas on McLean lol,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.6705702178698113],0
Very thankful for all th family and friends that showed up last night to say there farewells,"[3, 1, 1, 1, 1, 1, 1, 7, 1, 1]",[0.8099807310502726],0
Well somethings are strange today we had a family meal in honor of my grandfather durring the gathering we noticed that all males of our family are left handed ..... also for some odd reason my brother has taken a liking to chinese nardo cartoons and well he's beginning to understand it :-// I thought he'd start understanding spanish first,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",[0.9398642530112612],0
Cuddling with my furry child ... The one with four legs :) while I create my own little sims world to get away from the real world till about 12:00pm then I have to get ready to hit the office and do some actual work,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9026041777300402],0
"How do u expect kids 2 listen 2 their parents when: Tarzan lives half naked, Cinderella goes home @12AM, Pinocchio lies all the time, Aladdin is the king of thieves, Batman drives at 320KM//h, Sleeping beauty is lazy & Snow White lives with 7 guys. We shouldn't be surprised if kids misbehave @ times... They pick all this up in storybooks! Re-post if u agree! ;-)","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",[0.9385508786500133],0
My brother gets home from school Me: Hi Nick how was school Nick: get away germs (walks away) I love you ... such a sarcastic little person he is,"[1, 1, 1, 1, 1, 7, 3, 1, 1, 0]",[0.8747547084030942],0
Think my cold is tamed and I'm ready to go back to work now to go out in winter again ...,"[1, 1, 1, 1, 5, 1, 1, 1, 0, 0]",[0.8693333375364207],0
"So Charlie Sheen is going on tour/ My violent torpedo of truth /"" Tickets on sale now lmao","[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",[0.9093552723664494],0
My lil brother Nick saw me drinking tea and eagerly wanted to try so I thought no harm right... (so I let him try) then he tells me it tastes like poison -_-,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.8562568718938325],0
M&M cookies and colorfully frosted cupcakes with sprinkles for breakfast can anyone say sugar rush O_0,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",[0.8893249079008414],0
High school student tells me I'm to beautiful to swipe my own metro card so he swipes his school freebie. while I have an unlimited anyway if he needs one of those rides later he's screwed -_-,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.8831260718715026],0
Come On Yanks !!!,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",[0.4190735302892265],0
Yankees WIN Wooo Hooo,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",[0.7424343833212731],0
Status: lazy. Subject refuses to do homework or any ripe of work. He is seriously going to throw everything out the window. Diagnosis: extreme laziness.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.8565228833224839],0
"Two days, two books. Here I go for the next one, then.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.7534405784472819],0
Third book done. Status: in stasis.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.8420241146788503],0
"Status: unknown. Subject's mind has turned into a mayhem of ideas, feelings, and values. Diagnosis: unknown.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.8294182184914747],0
Status: overjoyed. Subject's mind has been blown away by such impressive graphics with a high-velocity gold-plated HD cable together with a PS3. Diagnosis: unknown.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.8624115652739558],0
Status: awed. Subject can't imagine his life with the new music he's just discovered. Diagnosis: unknown.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.8764006203459245],0
/Thinking? of you,"[1, 1, 1, 9, 5, 1, 1, 0, 0, 0]",[0.6940228302781942],0
"Ferchas Real Alekz BathOry Miguel Garcia Goya Tomorrow James wants to speak with me at 11. It'd be nice if you were there too, but I don't know what he wants to talk about. His face was serious, something uncommon for him.","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",[0.8823721071578902],0
"Found, once more, motivation. Let's rock this world!","[1, 1, 1, 1, 1, 1, 7, 1, 0, 0]",[0.7556495768693179],0
Status: in deep thought. Subject seems unsure of how to act in the following day. Diagnosis: unknown.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.8491119602945859],0
"Lucy Chen, will you be my eValentine? =D","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.6297773965692651],0
"Hey, what day is it? Oh, fuck... It's Valentine's Day...","[1, 1, 1, 1, 1, 4, 1, 1, 1, 1]",[0.7322496804247691],0
Newsflash: Internet's screwed because of unknown reasons. Excuse me please.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.7718727368147161],0
Ars medicina... <3,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.49073439730470675],0
Status: waiting. Subject is waiting for the release of Final Fantasy XIII-2 and Final Fantasy Versus XIII. Diagnosis: gamer addiction.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.9025008135441344],0
"Somewhere, down the road, I lost myself in time.","[5, 3, 1, 3, 1, 1, 1, 1, 5, 7]",[0.8483640984586447],0
"AVPM rocks! Great for those who unnderstand! Those who don't, go and search right now!","[5, 6, 1, 3, 3, 1, 1, 1, 0, 0]",[0.7707526735112084],0
This app is awesome!,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.5603733271229352],0
"Wow, I just experienced the Travelling Dream with Inception the app http:////inceptiontheapp.com","[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",[0.9058628909156837],0
"Wow, I just experienced the Still Dream with Inception the app http:////inceptiontheapp.com","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",[0.8704274531862964],0
"Wow, I just experienced Limbo with Inception the app http:////inceptiontheapp.com","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.8620277338267186],0
"Wow, I just experienced the Action Dream with Inception the app http:////inceptiontheapp.com","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.9338136389516518],0
"Wow, I just experienced the Quiet Dream with Inception the app http:////inceptiontheapp.com","[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",[0.8902178473162262],0
Status: excited. Subject is about to try his new wax seals set. Diagnosis: nineteenth century mode ON.,"[1, 1, 1, 1, 1, 7, 1, 1, 0, 0]",[0.8266494633284474],0
"Such a beautiful sight... I have this sensation, a sensation which is telling me this year will be awesome!","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.8173201172824874],0
GAMER MODE: ON The Legeond of Zelda: Phantom Hourglass won't last long!,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.8849065155112558],0
I'll follow you into the dark...,"[1, 1, 1, 3, 3, 1, 1, 1, 1, 0]",[0.8686051422338046],0
"Gamer mode OFF TLOZ:PH definitely was a lovely game. Good job, Nintendo!","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.8224964964943264],0
"I believe in this world. I believe there is hope, peace, and love for everyone in this beautiful world. I believe we can find a place where we belong, and I truly believe in humankind. What about you? Do you believe?","[7, 9, 7, 4, 3, 3, 5, 5, 1, 0]",[0.850483898594161],0
I finally found my remote control,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.7233199837266197],0
I WANT TO GO TO CALIFORNIA DAMN IT!,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",[0.5101992460335468],0
I might have a job an enterprise level job at dell for server support!,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.8328001951394794],0
Is Neil Patrick Harris A list or B list?,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.8085996522525505],0
New conan movie and Arnold isn't in it! 0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.8325759483494273],0
Gentoo is a type of penguin!,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.7290892165031935],0
Should I upgrade my laptop to windows 7 from xp?,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.7662433823311441],0
"My dad said with a serious expression and a rather bland voice /Use that drive to back up. It's only 4TB so use it sparingly./"" I cracked up hard. XD""","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",[0.9072422793084932],0
Eliot can't see this post!,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.7209532162950468],0
Getting a mandolin for my birthday! I've been wanting one for years!,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.8275567383045371],0
"I'm trying out the alpha version of the new bittorent, and I gotta say; I like it!","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.8495326287536038],0
Dark chocolate is WAY too sweet. I just ate a piece for the first time in years!,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.9114544879851298],0
"I just sneezed so loudly that my mom on the other side of the house yelled /god bless you/"" XD""","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.8665024958400428],0
WTF?! Topspin 4?! I haven't even played two yet and didn't know three was out!,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.7704281635443948],0
"Tell me, what good is an alarm clock when I'm still awake when it goes off to wake me?","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.8423253691643696],0
I used a converter to turn an ebook into a PDF file well every now and then there are a few miss spellings. My favorite so far is Captain Toilet.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.8836364207135842],0
I can't figure out what to eat,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.8101095757613455],0
twisting knee hurts it ya know... <- was posted on a wall by me in a group. Did it yesterday. Thought the groups wall was mine XD,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",[0.775845331673145],0
YES! Chrome FINALLY changed their input system so that you can use the fucking arrow keys to navigate! Or the website I was trying it on did. either way no more relying on the mouse!,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.9306456377208784],0
I'm now A+ certified! Now to study for net+,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.7617303653615989],0
Wow... apparently the Asian guy from The Green Hornet WASN'T the Asian from Harold and Kumar. That's according to IMDB anyway.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9030068634292397],0
A game of thrones finally started! Well yesterday but watching it now XD,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.76604992353406],0
Colbert is awesome. No beyond awesome. He out geeked ME on LoTR trivia 0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.6879553012226143],0
I just found out my moms restraining order on my step mom covers contact with my moms family... should I be a vindictive bastard?,"[3, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.8741407743520662],0
Anyone know a good book on RAID? I need to learn them inside and out for an interview.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.8642008531817164],0
Seriously they rhymed Dragon and Bragging.,"[5, 5, 1, 3, 1, 1, 7, 1, 0, 0]",[0.6698421158410699],0
http:////i7.photobucket.com//albums//y273//nendil//40555025.jpg?t=1305877051 Not sure if you can see this from your phone but this is the girl I'm interested in right now... Seriously Dan forgot about my Asian fetish XD,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",[0.8920699870081223],0
"So, THIS is why I haven't eaten at baskin robins in years! XD","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.7736925532291314],0
I DON'T feel like shit,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.7606973194388384],0
Back from school for my appointment in Rochester :) Legally Blonde and cleaning until then.,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.8412490561705082],0
Yeah... sleep isn't going to happen. not with you on my mind :'(,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",[0.8071806401273279],0
"Good job, ladiess! Made me proud :)","[3, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.6916313412613403],0
Took Mike's dog to get a haircut today... Superbowl Party tomorrow. STEELERSS! <3 <3 <3,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",[0.7859763456259062],0
rearranging my room to fit the treadmill... joy.,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.7310195150627621],0
"/How do the people feel about this? They think it's...JUST FUCKING DANDY!/"" -RIP George Carlin""","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.8633376550769062],0
/And oh,"[1, 1, 9, 1, 1, 1, 1, 0, 0, 0]",[0.30129231194627154],0
Do the creep :) lol.,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.6147695285682729],0
"/Aww Snap! He said trailer!/""""","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.5176939766450476],0
"/Your wife swallows pineapples for donkey rides!/"" XD""","[1, 1, 1, 1, 3, 1, 1, 0, 0, 0]",[0.7711454751201351],0
Cheer competition :),"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",[0.8334465701678716],0
"you have to shed some tears before you can really smile. good job, romulus varsity cheerleaders :)","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.8292629004587115],0
Think of me as the Barbie you never get to play with,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.8488497213696159],0
Officially have been cleaning my room for 3 hours and 13 minutes. facebook break :),"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.7306969502266842],0
Had a busy day :),"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.7424245613872477],0
writing an essay and waiting for dinner :) yay.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.742549546120313],0
I love lava lamps... I love lamp.,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",[0.7558932677533057],0
Music should not be a fad.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.7052677624729364],0
so I'm definitely wearing a tie-dye shirt and zebra stripe pants... time for bed :),"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.8628518679165498],0
"you tell her, mr. rivera! best game ever :)","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.7441909423509483],0
"Damn skippy, BitchCakes.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.6927569253358636],0
"Suddenly nervous about sectionals :( School, Cheer, bed early! Sectionals tomorrow.","[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",[0.802636692167001],0
CPI project COMPLETE! :),"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.7386850942411959],0
Slept for 19 HOURS! I feel amazing :),"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.6108625555564816],0
"I am not familiar with this /Sponge-Bob/""... is he dark? and disturbing?""","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",[0.6987803050088336],0
"/Do you know how hard it is to pick Skittles out of your crotch?/"" -Michael Crowe.""","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.6954978060190142],0
Congratualations to Trevor Bayne! Way to make NASCAR history :),"[1, 1, 1, 1, 3, 1, 1, 1, 0, 0]",[0.7992919572884443],0
out with Mikey! <3,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",[0.597794827254512],0
Wrapping presents... i feel like making cookies.,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",[0.6321122822076948],0
"Steelers, bitch ;)","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.595320030666357],0
Hanging out with my great-grandparents :),"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.5922194480836596],0
Taking a break from cleaning my room :) English midterm in the AM! Going to bed early...,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.8132401134812012],0
/Well pardon me,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",[0.6195601841667172],0
Shopping w// Mike & Ravyn todayy :),"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.7565657112545233],0
watching Predator Raw...,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.5563196343014067],0
"just watered my moss necklace? lol. i love you, ravyn! XD","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.6802357899295478],0
car shopping with mikey :),"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.7689156608610035],0
Quick nap... then off to the movies :),"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.7667011990580028],0
my dogs just got into a HUGE fight...over a sock monkey. it was intense. i have never been so afraid of two 7 pound dogs.,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.9008082411360931],0
"YanYan say: /Mole- in a hole!/"" :)""","[1, 3, 1, 0, 0, 0, 0, 0, 0, 0]",[0.7973951972282741],0
What's in your head? In your head? Zombie...Zombie...Zombie.,"[1, 5, 1, 1, 9, 1, 1, 6, 0, 0]",[0.872766418320594],0
I have the best dog in the world :),"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.7856374223958277],0
Listening to the Wall....Such a masterpiece of an album :),"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.7881994739372022],0
"Green Day, Pink Floyd, Led Zeppelin, U2, MCR, A7X, the White Stripes, the Black Keys, the Doors, Metallica, the Beatles, the Spill Canvas, the Who, the Clash, Van Halen, the Strokes, Cream, Jimmi Hendrix, Rage Against the Machine, Linkin Park, Disturbed, Tool, AC//DC, GNR, Fallout Boy, Daft Punk, the Gorillaz, Marilyn Manson, Five Finger Death Punch, Megadeth, Alice in Chains, the Rolling Stones, the Eagles,","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.9488121037014576],0
I am in LOVE with Bailey's coffee creamer :) :) :) :),"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.8111558662855105],0
I has fun bashing stupid Politicians...:),"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.7771773848462507],0
going to watch code geass while spending all night on algebra homework that I really should have done ages ago....,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.8696931201767789],0
"I'm tired of being drowned by people who are trying to help me, who only ever end up pushing me deeper into the water","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.7979798701929098],0
"see you, space cowboy......:)","[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",[0.7541658664414421],0
on to homework...and more code geass for the next ten or so hours :),"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",[0.7754408181413277],0
I love my family. Enough said.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.6540112300613726],0
hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha.........................................................................................................................lol,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.3836023259214624],0
"We constantly want more material items, but in a time of chrisis would our ipods, cellphones, computers or gaming systems really be that important anymore?Thousands of people in japan are confirmed dead, even more so are missing Think about that the next time you complain about not having what you want.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9014450193429794],0
"Dude from cellphone commercial: It makes sense when you don't think about it.. Me:pshhhhhh, yeah, so did the Bush presidency...","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.8886369313581012],0
valentines day is a bitch...,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",[0.7090408764807486],0
