,userid,text,id,negative_ny,time,time_diff
3627,db7f1b0130b2138e13b7bbca9cc63823,Be patient and tough. someday this pain would be useful to you. -Ovia,3762,2,2011-01-29,42
3618,db7f1b0130b2138e13b7bbca9cc63823,Would you be my valentine?,3734,4,2011-02-02,38
3619,db7f1b0130b2138e13b7bbca9cc63823,????????????? ????????????.,3735,4,2011-02-02,38
3617,db7f1b0130b2138e13b7bbca9cc63823,"Sometimes I pretend to be normal, but it gets boring. So I go back to being me.",245,4,2011-02-03,37
3616,db7f1b0130b2138e13b7bbca9cc63823,Well I don't think we have enought fate to continue. We have a little fate but it's just not enought.,3737,2,2011-02-05,35
3615,db7f1b0130b2138e13b7bbca9cc63823,"We should never assume that somebody loves us by only seeing their sweetness. Sometimes we should in the fact that some people are just /FLIRTS/"".""",3739,2,2011-02-06,34
3613,db7f1b0130b2138e13b7bbca9cc63823,???????????????????????? ????????????????????????? ????????????????????? ??????????.,3741,5,2011-02-08,32
3614,db7f1b0130b2138e13b7bbca9cc63823,"I had so many words, But I had no courage.",863,1,2011-02-08,32
3612,db7f1b0130b2138e13b7bbca9cc63823,"The longer he looks into your eyes the more he is interested in you. If he can't look into your eyes long enough, there is a good chance that he wants to conquer you. After that he would leave you.",3743,4,2011-02-10,30
3610,db7f1b0130b2138e13b7bbca9cc63823,Sorry I don't mean to be rude. -Enrique Iglesias,247,1,2011-02-11,29
3611,db7f1b0130b2138e13b7bbca9cc63823,You know what really sucks about falling for a guy you know you're not right for? You fall anyways because you think he might turn out to be different. -Selena Gomaz,248,1,2011-02-11,29
3608,db7f1b0130b2138e13b7bbca9cc63823,I am going KEY-razy,3745,4,2011-02-12,28
3609,db7f1b0130b2138e13b7bbca9cc63823,you can't do extraordinary things in the world if you are spending your time criticizing others because they don't look or behave the way you think they should,3746,1,2011-02-12,28
3607,db7f1b0130b2138e13b7bbca9cc63823,I don't feel the way it used to be.,3747,4,2011-02-14,26
3605,db7f1b0130b2138e13b7bbca9cc63823,"Did you know that when someone appears in your dreams, it's because that person misses you. - Psychological fact",251,2,2011-02-15,25
3606,db7f1b0130b2138e13b7bbca9cc63823,I just want to be Happy is that wrong?,3748,1,2011-02-15,25
3604,db7f1b0130b2138e13b7bbca9cc63823,If you don't like me just say. Just don't be such a hypocrite.,3750,1,2011-02-17,23
3603,db7f1b0130b2138e13b7bbca9cc63823,"So scared of breaking it that you won't let it bend And I wrote two hundred letters I will never send Sometimes these cuts are so much deeper than they seem You'd rather cover up, I'd rather let them be So Let me be, and I'll set you free.",140,1,2011-02-18,22
3602,db7f1b0130b2138e13b7bbca9cc63823,We both come in a package. Like A Set meal.,3751,4,2011-02-19,21
3601,db7f1b0130b2138e13b7bbca9cc63823,You walked out when I needed you the most,252,1,2011-02-19,21
3599,db7f1b0130b2138e13b7bbca9cc63823,"Love isn't about attraction, infatuation, lust, gifts and the length of time you spent together.True love is having to wake up each day feeling so deeply in love and overwhelmingly happy whenever this person is around you without knowing why. Making you forget the past, cherish the present and wishing the future would be spending your entire lives together.",253,2,2011-02-20,20
3600,db7f1b0130b2138e13b7bbca9cc63823,Gosh my legs are aching thanks 2.4 for doing that to my legs.,864,1,2011-02-20,20
3597,db7f1b0130b2138e13b7bbca9cc63823,Being happy doesn't mean that everything is perfect. It means that you have decided to look beyond the imperfections.,254,2,2011-02-21,19
3598,db7f1b0130b2138e13b7bbca9cc63823,Its Just too Lucky that My birthday falls on the 1st day of school camp. :(,865,1,2011-02-21,19
3596,db7f1b0130b2138e13b7bbca9cc63823,090396 <3,3754,4,2011-02-22,18
3593,db7f1b0130b2138e13b7bbca9cc63823,Party rock is in the house tonight Everybody just have a good time And we're gonna make you lose your mind Everybody just have a good time.,255,2,2011-02-23,17
3594,db7f1b0130b2138e13b7bbca9cc63823,"Anyone can love a rose but it takes a great deal to love a leaf. It is ordinary to love the beautiful, but it is beautiful to love the ordinary.",256,2,2011-02-23,17
3595,db7f1b0130b2138e13b7bbca9cc63823,"I know you want me. I make it obvious that I want you too.So put it on me, Let's remove the space in between me and you. -Tonight By Enrique Iglesias.",257,2,2011-02-23,17
3591,db7f1b0130b2138e13b7bbca9cc63823,you're not my weakness anymore.,3755,2,2011-02-24,16
3592,db7f1b0130b2138e13b7bbca9cc63823,"Sometimes it sucks being strong. Because when people know that you are strong, they think that it is okay to hurt you over and over again.",141,1,2011-02-24,16
3589,db7f1b0130b2138e13b7bbca9cc63823,/I was,3756,4,2011-02-25,15
3590,db7f1b0130b2138e13b7bbca9cc63823,If Laughing Increases your Lifespan then I am IMMORTAL,3757,2,2011-02-25,15
3587,db7f1b0130b2138e13b7bbca9cc63823,Today I had a great time with Kai Theng remising our childhood. (Y),3759,2,2011-02-27,13
3588,db7f1b0130b2138e13b7bbca9cc63823,Thanks for the Memories.,3760,2,2011-02-27,13
3584,db7f1b0130b2138e13b7bbca9cc63823,Soon she's gonna find stealing other people's toys on the playground won't make you more friends. (Via Better than revenge by Taylor Swift),246,4,2011-03-04,8
3585,db7f1b0130b2138e13b7bbca9cc63823,Happiness is not a destiny instead it is a choice.,3736,2,2011-03-04,8
3586,db7f1b0130b2138e13b7bbca9cc63823,I feel Bad doing that to you :),861,1,2011-03-04,8
3583,db7f1b0130b2138e13b7bbca9cc63823,I am making sorbet who want to join me?,3738,2,2011-03-05,7
3582,db7f1b0130b2138e13b7bbca9cc63823,???????? ??????,3740,5,2011-03-06,6
3581,db7f1b0130b2138e13b7bbca9cc63823,Thank you too all that wish me happy birthday. :D I really appreciate it. <3,3742,2,2011-03-09,3
3579,db7f1b0130b2138e13b7bbca9cc63823,Today I don't feel like doing anything. I just wanna lay on my bed. -Lazy Song by Bruno Mars,249,4,2011-03-11,1
3580,db7f1b0130b2138e13b7bbca9cc63823,"You have changed, To a complete stranger.",3744,1,2011-03-11,1
3578,d5380466e18422d7b2c2d54d57cbbde2,camping at Woy Woy... no reception & sunscreen allergy my only worries... Took some great photos at the beach... Having an awesome time...,4149,3,2010-12-19,60
3577,d5380466e18422d7b2c2d54d57cbbde2,Just got back from camping. :],3726,2,2010-12-23,56
3575,d5380466e18422d7b2c2d54d57cbbde2,My dog is totally in a turkey coma!!! He loved the stuffing more than the actual turkey... Oh how I love my Guapo!!!,3728,2,2010-12-24,55
3576,d5380466e18422d7b2c2d54d57cbbde2,Braving the chaos at the shops... And they have all run out of sage!!!! The ONLY thing I need!!!,858,1,2010-12-24,55
3574,d5380466e18422d7b2c2d54d57cbbde2,Xbox kinect... Pretty awesome... Merry Christmas! :),3730,2,2010-12-25,54
3573,d5380466e18422d7b2c2d54d57cbbde2,This year has gone by too soon. Here's to an epic 2011. Happy new year everyone!! :),3733,2,2010-12-31,48
3571,d5380466e18422d7b2c2d54d57cbbde2,First season of Grey's Anatomy. Oh. Yes.,3711,2,2011-01-03,45
3572,d5380466e18422d7b2c2d54d57cbbde2,Go to sleep Nancy. Go. To. Sleep!,3712,2,2011-01-03,45
3569,d5380466e18422d7b2c2d54d57cbbde2,Surviving on 3 hours of sleep is never any fun...,855,1,2011-01-04,44
3570,d5380466e18422d7b2c2d54d57cbbde2,"2 steps forward, 1000 steps back. And this goes on till you can't see the point of even trying anymore...",856,1,2011-01-04,44
3568,d5380466e18422d7b2c2d54d57cbbde2,"/To be like the rock that the waves keep crashing over. It stands unmoved and the raging of the sea falls still around it./"" - Marcus Aurelius""",244,4,2011-01-05,43
3567,d5380466e18422d7b2c2d54d57cbbde2,Motorbike or scooter??,3713,4,2011-01-06,42
3566,d5380466e18422d7b2c2d54d57cbbde2,"I attended the most amazing, joyful, beautiful wedding today. A huge congrats to Mr. and Mrs. Pete and Lisa Vogel!",3715,2,2011-01-08,40
3565,d5380466e18422d7b2c2d54d57cbbde2,Getting my geek on watching Star Wars...,3718,2,2011-01-10,38
3563,d5380466e18422d7b2c2d54d57cbbde2,One of those days... :@,3719,4,2011-01-12,36
3564,d5380466e18422d7b2c2d54d57cbbde2,Love how a song can change your whole mood... Currently whipping my hair back and forth whilst not letting haters keep me off my grind and fighting until I get there.,139,1,2011-01-12,36
3562,d5380466e18422d7b2c2d54d57cbbde2,That awkward moment when all the evils and wrongs in the world are your fault because you're the one holding the map in the passenger's seat of the car. Speaking of which... Anyone know the way to the airport??,3724,4,2011-01-19,29
3561,d5380466e18422d7b2c2d54d57cbbde2,*Oprah giveaway voice* I got an OFFEEEEEEEEEEEEEEEEEERR!!!!! And YOU get an offer! And YOU get an offer! And YOU and YOU and YOU get an offer!!! You ALL get to take home an OFFER! *crowd goes psycho crazy wild*,3725,2,2011-01-20,28
3560,d5380466e18422d7b2c2d54d57cbbde2,Happy Austraaaaaaaaliaaaaaa daaaaaaaaaaaaaaay!!!! And congrats to our fish. The fish stork brought 18 baby fish this week.... O__o,3729,2,2011-01-25,23
3558,d5380466e18422d7b2c2d54d57cbbde2,"Belligerent ureters. Sounds like a band name, but they are keeping me awake with their revenge for having had too much caffeine yesterday. And that's ureters not uterus.",3732,4,2011-01-27,21
3557,d5380466e18422d7b2c2d54d57cbbde2,Just realised Brooke Fraser's concert is on Sunday!! How fast did that time go by!!! totally pumped to take Pahola Janira Zepeda to her very first concert!!!! :),3731,2,2011-01-27,21
3559,d5380466e18422d7b2c2d54d57cbbde2,Totally just had a massive epiphany. The question now isn't where I go to from here. Nor is it how to get there. The real question is do I have the courage to do what it takes? *resists urge to hide in a corner*,859,1,2011-01-27,21
3556,d5380466e18422d7b2c2d54d57cbbde2,"Egyptian Government just cut off all internet connections with rumours of cutting of power, water and telephone connections. Pray.",860,1,2011-01-28,20
3555,d5380466e18422d7b2c2d54d57cbbde2,"The rumble is low and the heat is high, Got a feeling that there's rain out in the oil black sky, Gonna chase away the devil when that sun does rise, gonna... plead the Blood...",138,1,2011-02-02,15
3554,d5380466e18422d7b2c2d54d57cbbde2,"For some bizarre reason i cannot fathom, I have had a Soulja Boy song stuck in my head aaaaaaalll daaaaaayyy loooong... /now watch me",3714,3,2011-02-07,10
3552,d5380466e18422d7b2c2d54d57cbbde2,"Today's the day, the sun is shining, the sky is clear, and I'm going to Uni!!!!!! :D",3716,2,2011-02-09,8
3553,d5380466e18422d7b2c2d54d57cbbde2,Excellent news: I found the library.,3717,2,2011-02-09,8
3551,d5380466e18422d7b2c2d54d57cbbde2,Iiiiiiinsomniaaaaaaaa.....,3720,1,2011-02-12,5
3550,d5380466e18422d7b2c2d54d57cbbde2,I can haz urgent spinal X-ray? :S,857,1,2011-02-13,4
3548,d5380466e18422d7b2c2d54d57cbbde2,Um... Katy Perry... What was that???,3721,4,2011-02-14,3
3549,d5380466e18422d7b2c2d54d57cbbde2,"Just gonna stan there and watch me roar, but that's alright because I am a dinosaur...",3722,2,2011-02-14,3
3547,d5380466e18422d7b2c2d54d57cbbde2,Tutorial Registration: done. I now have a timetable. :) its getting nearer and nearer... :D,3723,2,2011-02-15,2
3545,cfb021cfbff46ffdb75c7dcafe7c2087,Hope everyone is having a great Valentines Day,3695,2,2011-02-14,60
3544,cfb021cfbff46ffdb75c7dcafe7c2087,Being a woman is a terribly difficult task since it consists principally in dealing with men. Joseph Conrad,3694,1,2011-02-14,60
3546,cfb021cfbff46ffdb75c7dcafe7c2087,Off to enter the gates of Hell :(,853,1,2011-02-14,60
3542,cfb021cfbff46ffdb75c7dcafe7c2087,/If we don't change the direction we are headed,3696,2,2011-02-15,59
3543,cfb021cfbff46ffdb75c7dcafe7c2087,"How hard is to took a pizza out of the box, okay that is two in a row burnt!",3697,2,2011-02-15,59
3539,cfb021cfbff46ffdb75c7dcafe7c2087,/Life is not measured by the number of breaths we take,225,4,2011-02-16,58
3540,cfb021cfbff46ffdb75c7dcafe7c2087,"Good girls go to heaven, bad girls go everywhere. Mae West",226,4,2011-02-16,58
3541,cfb021cfbff46ffdb75c7dcafe7c2087,"Wednesday Morning, half way there, have a good day everyone!",3698,2,2011-02-16,58
3537,cfb021cfbff46ffdb75c7dcafe7c2087,/I would not regret putting a hole in your arrogant chest,223,1,2011-02-16,58
3538,cfb021cfbff46ffdb75c7dcafe7c2087,/We end up stumbling our way through the forest,224,1,2011-02-16,58
3536,cfb021cfbff46ffdb75c7dcafe7c2087,/Someday,3699,4,2011-02-17,57
3534,cfb021cfbff46ffdb75c7dcafe7c2087,"Almost Friday, only like 2 hours and 10 mins to go......",3700,2,2011-02-18,56
3535,cfb021cfbff46ffdb75c7dcafe7c2087,/You can owe nothing,3701,2,2011-02-18,56
3533,cfb021cfbff46ffdb75c7dcafe7c2087,Illusions commend themselves to us because they save us pain and allow us to enjoy pleasure instead. We must therefore accept it without complaint when they sometimes collide with a bit of reality against which they are dashed to pieces. ~Sigmund Freud,232,4,2011-02-19,55
3531,cfb021cfbff46ffdb75c7dcafe7c2087,"The sun, though it passes through dirty places, yet remains as pure as before. Francis Bacon (1561 - 1626)",3704,2,2011-02-21,53
3532,cfb021cfbff46ffdb75c7dcafe7c2087,He that lives upon hope will die fasting. Benjamin Franklin,136,1,2011-02-21,53
3529,cfb021cfbff46ffdb75c7dcafe7c2087,"My journey is my journey, how can you comprehend That what becomes the truth for me is one I cannot lend Or even simply give away, because it is of me, It is of me, and me alone, not him, not her, not thee, A private part of who I am and what I represent, Impossible to understand from where your journey's sent. Yanis Bayada",235,4,2011-02-23,51
3530,cfb021cfbff46ffdb75c7dcafe7c2087,/So we liked to speak our minds,3705,4,2011-02-23,51
3528,cfb021cfbff46ffdb75c7dcafe7c2087,/It is not questionable that the dark always comes. What is questionable is the fact it blinds us,236,4,2011-02-24,50
3527,cfb021cfbff46ffdb75c7dcafe7c2087,"If you don't get lost, there's a chance you may never be found. ~Author Unknown",237,4,2011-02-25,49
3526,cfb021cfbff46ffdb75c7dcafe7c2087,"Off to go do!!! Will be nice to get out, all though it is freezing.....",4148,3,2011-02-25,49
3525,cfb021cfbff46ffdb75c7dcafe7c2087,/Today you are You,3707,4,2011-02-26,48
3523,cfb021cfbff46ffdb75c7dcafe7c2087,/Life is short,3708,4,2011-02-27,47
3524,cfb021cfbff46ffdb75c7dcafe7c2087,"Sunday is going to be good! Went to tims to buy a coffee, bought a coffee, and a tin of coffee, I think it is going to be the most wonderful day :)",3709,2,2011-02-27,47
3522,cfb021cfbff46ffdb75c7dcafe7c2087,/You are not wrong who deem That my days have been a dream,243,4,2011-02-28,46
3521,cfb021cfbff46ffdb75c7dcafe7c2087,/All truth passes through three stages: First,3678,4,2011-03-02,44
3520,cfb021cfbff46ffdb75c7dcafe7c2087,/Rummaging in our souls,3679,4,2011-03-03,43
3518,cfb021cfbff46ffdb75c7dcafe7c2087,Goodmorning & Happy Friday to all!!!,3681,2,2011-03-04,42
3519,cfb021cfbff46ffdb75c7dcafe7c2087,/I have not failed. I've just found 10,3682,2,2011-03-04,42
3517,cfb021cfbff46ffdb75c7dcafe7c2087,/If I had known then what I know now,3684,4,2011-03-05,41
3515,cfb021cfbff46ffdb75c7dcafe7c2087,/Sometimes you fight what you are,213,4,2011-03-08,38
3516,cfb021cfbff46ffdb75c7dcafe7c2087,"Never thought that cutting up chicken wings would be so disgusting, anyone want to come and help, lol",849,1,2011-03-08,38
3514,cfb021cfbff46ffdb75c7dcafe7c2087,/It is always the false that makes you suffer,132,1,2011-03-11,35
3513,cfb021cfbff46ffdb75c7dcafe7c2087,"The contemplative life is often miserable. One must act more, think less, and not watch oneself live. ~Nicolas Chamfort",222,4,2011-03-15,31
3512,cfb021cfbff46ffdb75c7dcafe7c2087,/There are few times when we know with absolute certainty we are going to do something for the last time. Life has a way of moving in circles,854,1,2011-03-16,30
3511,cfb021cfbff46ffdb75c7dcafe7c2087,You cannot depend on your eyes when your imagination is out of focus. Mark Twain,229,4,2011-03-17,29
3510,cfb021cfbff46ffdb75c7dcafe7c2087,"Good Morning everyone, have a great day! Friday at last!",3702,2,2011-03-18,28
3509,cfb021cfbff46ffdb75c7dcafe7c2087,/I've learned that people will forget what you said,3703,1,2011-03-20,26
3508,cfb021cfbff46ffdb75c7dcafe7c2087,/The truth will set you free,3710,4,2011-03-31,15
3507,cfb021cfbff46ffdb75c7dcafe7c2087,/If you can't be a good example,242,1,2011-03-31,15
3506,cfb021cfbff46ffdb75c7dcafe7c2087,"Good Morning, & Happy Friday!!!!",3677,2,2011-04-01,14
3505,cfb021cfbff46ffdb75c7dcafe7c2087,/What we think,3680,2,2011-04-03,12
3504,cfb021cfbff46ffdb75c7dcafe7c2087,"Good morning Monday, I think it is going to be a wonderful day! :)",3683,2,2011-04-04,11
3503,cfb021cfbff46ffdb75c7dcafe7c2087,/First they ignore you,3685,4,2011-04-06,9
3502,cfb021cfbff46ffdb75c7dcafe7c2087,/You don't need a weatherman to know,3687,4,2011-04-07,8
3501,cfb021cfbff46ffdb75c7dcafe7c2087,Good morning people! Happy Thursday!,3686,2,2011-04-07,8
3498,cfb021cfbff46ffdb75c7dcafe7c2087,The best way out is always through. Robert Frost,215,4,2011-04-08,7
3500,cfb021cfbff46ffdb75c7dcafe7c2087,"Good morning everyone, Happy Friday!!!!",3688,2,2011-04-08,7
3497,cfb021cfbff46ffdb75c7dcafe7c2087,The reward for conformity was that everyone liked you except yourself. Rita Mae Brown,214,1,2011-04-08,7
3499,cfb021cfbff46ffdb75c7dcafe7c2087,"If you don't learn to laugh at trouble, you won't have anything to laugh at when you're old. Edgar Watson Howe",216,1,2011-04-08,7
3494,cfb021cfbff46ffdb75c7dcafe7c2087,"Though many people will go in and out of your heart only one will want to stay there. If you build a heart full of holes, think how much easier it is to hang on.",4147,3,2011-04-09,6
3495,cfb021cfbff46ffdb75c7dcafe7c2087,"Goodnight all, way to much excitement for this girl with the bad boys pulled up outside, lol, anyway been a nice friday! x",3689,2,2011-04-09,6
3496,cfb021cfbff46ffdb75c7dcafe7c2087,I ran over a smurf at the dinner table because I'm sexy and I do what I want,3690,2,2011-04-09,6
3492,cfb021cfbff46ffdb75c7dcafe7c2087,/Can you see the power emotion has to distort our outlook? Makes you wonder,3691,4,2011-04-10,5
3493,cfb021cfbff46ffdb75c7dcafe7c2087,/The mystery of human existence lies not in just staying alive,3692,4,2011-04-10,5
3490,cfb021cfbff46ffdb75c7dcafe7c2087,"Anyone have any recommendations for a good wide lens for a D90, i am looking to spend no more than 1000.00 and would like something that is good quality.",3693,2,2011-04-11,4
3491,cfb021cfbff46ffdb75c7dcafe7c2087,"i hate all the mud that spring brings into my house, grrr, mopping floor again, this sucks!",850,1,2011-04-11,4
3489,cfb021cfbff46ffdb75c7dcafe7c2087,"We learn something every day, and lots of times it's that what we learned the day before was wrong. Bill Vaughan",220,4,2011-04-12,3
3486,cfb021cfbff46ffdb75c7dcafe7c2087,It's a shallow life that doesn't give a person a few scars. Garrison Keillor,134,1,2011-04-13,2
3487,cfb021cfbff46ffdb75c7dcafe7c2087,/We either make ourselves miserable,851,1,2011-04-13,2
3488,cfb021cfbff46ffdb75c7dcafe7c2087,"I am soooo sick of cleaning, playroom almost done now, have been throwing away stuff all day, pretty soon it will be a new adult playroom , ha ha, no more garage parties, lol!",852,1,2011-04-13,2
3485,cfb021cfbff46ffdb75c7dcafe7c2087,"If everything seems under control, you're not going fast enough Mario Andretti",221,4,2011-04-14,1
3484,cea00424ced413c108d878b1a14f3316,The phone is again out o' minutes. Sorry. :// Talk to me here if you so desire.,847,1,2010-12-13,60
3483,cea00424ced413c108d878b1a14f3316,The phone is still out of commission and will likely be that way through through Friday or Saturday. Just so ya know. Message me here if you desire conversation.,3659,4,2010-12-15,58
3482,cea00424ced413c108d878b1a14f3316,Minutes have been replenished!!,3660,2,2010-12-17,56
3480,cea00424ced413c108d878b1a14f3316,"Okay, all the people that I seriously need to see before spring semester let me know when we can hang out so that I can work around my work schedule. If you want to do something this week, give me a day and I'll let you know if I can.",3663,4,2010-12-20,53
3481,cea00424ced413c108d878b1a14f3316,"Dear customer: If I tell you I can't do something, looking at me like I'm a piece of white trash and arguing will not give me the ability nor the desire to break procedure.",310,1,2010-12-20,53
3479,cea00424ced413c108d878b1a14f3316,It's been a while since I've been up early enough to see sunrise. Merry Christmas Eve!,3667,2,2010-12-24,49
3478,cea00424ced413c108d878b1a14f3316,"My phone is on the blink yet again. No minutes, no calls, no texts. Use facebook for communication. *sigh* I don't like this anymore than you.",848,1,2010-12-26,47
3477,cea00424ced413c108d878b1a14f3316,What the heck!? It's only 8:30???!,3671,1,2010-12-27,46
3476,cea00424ced413c108d878b1a14f3316,"OMYGOSH!!! Dad starts his job with the VW supplier NEXT MONDAY MORNING!!!!!!! :DDDDD Thank You, God!!!",3673,2,2010-12-28,45
3475,cea00424ced413c108d878b1a14f3316,Just read an email from one of my professors that I'll have next semester. She sounds exceptionally perky.,3675,2,2010-12-29,44
3474,cea00424ced413c108d878b1a14f3316,Spent an awesome and eye opening afternoon with one of the loveliest people I know.,3651,2,2011-01-04,38
3473,cea00424ced413c108d878b1a14f3316,"First though as I wake up: OMYGOSH, it's cold! Next one: I should turn on the kerosene heater. Mom: We're out of Kerosene but.... Me: *dies inside*",3652,1,2011-01-05,37
3472,cea00424ced413c108d878b1a14f3316,Came within inches of hitting a doe. O_O Momma was with me and said she's never seen a deer that close to a car NOT get hit or clipped. Thank God for guardian angels.,3653,2,2011-01-07,35
3471,cea00424ced413c108d878b1a14f3316,"So technically, tomorrow will be the fourth first day of a semester that I will miss due to circumstances beyond my control. ^_^ Perhaps I should start skipping first days altogether....",3655,2,2011-01-10,32
3470,cea00424ced413c108d878b1a14f3316,I had almost forgotten how good it felt simply to put pen to paper and write for no other reason than a release of creativity:),3656,2,2011-01-11,31
3469,cea00424ced413c108d878b1a14f3316,I want my textbook!! Like now.,3657,4,2011-01-12,30
3468,cea00424ced413c108d878b1a14f3316,Phone is indefinitely out of minutes. Talk to me here if you need me.,3658,4,2011-01-15,27
3467,cea00424ced413c108d878b1a14f3316,First real day of class tomorrow!,3661,2,2011-01-19,23
3466,cea00424ced413c108d878b1a14f3316,"So I finally got my textbooks, and I feel like it cost an arm, a leg, and a kidney. XP",3662,2,2011-01-20,22
3465,cea00424ced413c108d878b1a14f3316,Work work work. I *will* have a good night.,3664,4,2011-01-22,20
3464,cea00424ced413c108d878b1a14f3316,"The story I am writing exists, written in absolutely perfect fashion, some place, in the air. All I must do is find it, and copy it. ~Jules Renard",3665,4,2011-01-23,19
3463,cea00424ced413c108d878b1a14f3316,Coldplay and coffee:) Good morning.,3666,2,2011-01-24,18
3462,cea00424ced413c108d878b1a14f3316,/Sit down,3668,2,2011-01-25,17
3460,cea00424ced413c108d878b1a14f3316,The difference between the right word and the almost right word is the difference between lightning and a lightning bug. ~Mark Twain,201,4,2011-01-26,16
3461,cea00424ced413c108d878b1a14f3316,I love how Pandora knows that this is the perfect day for slightly melancholic music.,3669,2,2011-01-26,16
3459,cea00424ced413c108d878b1a14f3316,The time to begin writing an article is when you have finished it to your satisfaction. By that time you begin to clearly and logically perceive what it is you really want to say. ~Mark Twain,3670,4,2011-01-27,15
3458,cea00424ced413c108d878b1a14f3316,I have come to the conclusion that I live in the Twilight Zone. Memories are disappearing and my sister can read my mind.,3672,4,2011-01-28,14
3457,cea00424ced413c108d878b1a14f3316,"Remember my family in your thoughts and prayers, my friends. Thanks, love y'all.",3674,2,2011-01-29,13
3456,cea00424ced413c108d878b1a14f3316,"Wonder of the World, You've been so wonderful to me, and as long as I can speak, I will say so. Wonder of the world, You're on display for all to see, and for all eternity, I will say so.",3676,2,2011-01-30,12
3455,cea00424ced413c108d878b1a14f3316,"/I'm going to bed now./"" *finds something to read* 15 minutes later: /""I'm going to bed NOW./"" *keeps reading* 1hr later: /""I am definitely going to bed now.....right after I see what else this person has written./""""",3649,2,2011-02-01,10
3454,cea00424ced413c108d878b1a14f3316,will never completely rid herself of AP Bio. Ever!! Hydrogen bonds!! Properties of water!! A...T...P...! Aaaaahhhhhhh!! *brain implodes*,3650,2,2011-02-02,9
3453,cea00424ced413c108d878b1a14f3316,"I don't mind being busy at work, but I hate it when I have to put so much effort into being a nice and helpful cashier that fine motor skills, depth perception, and hand-eye coordination forsake me.",846,1,2011-02-04,7
3452,cea00424ced413c108d878b1a14f3316,Since when are students that tinker with the piano in the student center actually able to play without making my ears bleed?? *mind blown*,3654,1,2011-02-07,4
3451,cd86d1e6d68c3770eaec0db419dceb2f,tomorrow is mario day!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,3647,2,2011-01-29,59
3449,cd86d1e6d68c3770eaec0db419dceb2f,being attacked by a bella. i can just hear her coming up behind me for another attack!,3648,2,2011-01-30,58
3450,cd86d1e6d68c3770eaec0db419dceb2f,fells terible...........,844,1,2011-01-30,58
3447,cd86d1e6d68c3770eaec0db419dceb2f,1st person to like my status - I'll change my last name to yours for a week. 2nd person to like my status - I'll write I love you on your wall for 3 days. ? 3rd person to like my status - I will answer any question. (inbox Only) 4th person to like my status - Can choose my profile pic. Put this as your status if you're brave enough,200,4,2011-01-31,57
3448,cd86d1e6d68c3770eaec0db419dceb2f,me no want school tomrrow :( and i didn't switch out of a class fast enough and im stuck in it! and it is a block class!!!it is so boring and the teacher hates me!? i wish civics was a block class only year round!!!!! i just love history! <3 <3 and in algebra no one in there daliy lives uses it unless your a math teacher!?! so why do i need to learn it and its just dooo..... the work :p,845,1,2011-01-31,57
3445,cd86d1e6d68c3770eaec0db419dceb2f,has to color the child she made in biology for gentics! she dosnt have a father so i'm thing about 'donor' on the line where it says father's name! her name is ~ Ema zarafazouse wetherbee~ yep pretty origenal it was a tie between zarafzouse and emerson for the middle name! but i will just call her Em!,3583,4,2011-02-01,56
3446,cd86d1e6d68c3770eaec0db419dceb2f,in the registration handbook under AP world history it says May be substitted for world civilazation but can i take both!,3584,2,2011-02-01,56
3444,cd86d1e6d68c3770eaec0db419dceb2f,FEA!!! i'm going to the inter medit center and gong to be teaching soon!!!! hope the lil six graders are ready! so excited >.<,3586,2,2011-02-02,55
3442,cd86d1e6d68c3770eaec0db419dceb2f,"teachers shouldn't be bais (well thats okay if i am on the good end), or publicly mock students, put down, call names, and crush dreams ([all these are dricted towards students]even small ones like completeing an assinment) and haveing senorty shoud not have imunitty. when ever do become a real teacher i will never do that. the best teacher i know is in my least fav subject so TEACHERS do matter (sadly its english)",3588,4,2011-02-03,54
3443,cd86d1e6d68c3770eaec0db419dceb2f,I'm such a nerd that i think my civics text book was a good read! i bet coach hood thinks i'm a werdo!,309,1,2011-02-03,54
3441,cd86d1e6d68c3770eaec0db419dceb2f,i remember eating at sonic last night then i can't remeber anything else,3591,2,2011-02-04,53
3439,cd86d1e6d68c3770eaec0db419dceb2f,In the dark blue sky you keep And often thro' my curtains peep For you never shut your eye Til the sun is in the sky,3592,4,2011-02-05,52
3440,cd86d1e6d68c3770eaec0db419dceb2f,bored,81,1,2011-02-05,52
3436,cd86d1e6d68c3770eaec0db419dceb2f,wants glee karioke for the wii,3596,4,2011-02-06,51
3437,cd86d1e6d68c3770eaec0db419dceb2f,only good thing about the super bowl is glee comes on after,3597,3,2011-02-06,51
3438,cd86d1e6d68c3770eaec0db419dceb2f,i wach the kick off and will be back for half time! i just don't like football,3598,1,2011-02-06,51
3435,cd86d1e6d68c3770eaec0db419dceb2f,if you don't talk to your cat about cat nip who will?,3602,4,2011-02-07,50
3432,cd86d1e6d68c3770eaec0db419dceb2f,has the urge to read dr. suess! over the summer i went to the libary and read them to jacob! i want to read my green eges and hame or the foot book! left foot right foot left foot righ! wet foot dry foot low foot high foot oh how many feet you'll meet!,3599,2,2011-02-07,50
3433,cd86d1e6d68c3770eaec0db419dceb2f,"friends are like potatos if you eat them, they DIE~<3",3600,2,2011-02-07,50
3434,cd86d1e6d68c3770eaec0db419dceb2f,"STOP! in the name of love, befor your break my heart",3601,1,2011-02-07,50
